Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.32111444258854	0.102105756220543	0.0199637023593466
ctrx_quarter	0.134525114306355	0.0761946105867594	0.0136116152450091
mcaja_ahorro	0.0822608570331427	0.0841651146518546	0.0326678765880218
mcuenta_corriente	0.0489787071100449	0.00647843396397309	0.0217785843920145
Visa_status	0.0401100164236974	0.0390755198006344	0.0136116152450091
cdescubierto_preacordado	0.0322010110653939	0.00513864007581911	0.0127041742286751
mcuentas_saldo	0.0245985006452996	0.0295568501978458	0.0408348457350272
cpayroll_trx	0.0230785605500525	0.104979814988067	0.0399274047186933
foto_mes	0.021094177390122	0.0324222308198365	0.0843920145190563
Visa_Finiciomora	0.0198713031766887	0.0740091722829864	0.0372050816696915
cproductos_ratioavg3	0.0166982653613872	0.0201680582980509	0.0308529945553539
mtarjeta_visa_consumo	0.0129638352818029	0.0117817424522686	0.0163339382940109
ctarjeta_visa_ratioavg3	0.0127257994372779	0.0205463328924487	0.00362976406533575
cdescubierto_preacordado_tend3	0.0118865907996448	0.0224821783553985	0.0136116152450091
Visa_msaldototal	0.0118214868162178	0.0264457650730929	0.0226860254083485
mcuentas_saldo_avg3	0.0100587382265308	0.00102015086427148	0.00272232304900182
ctarjeta_visa	0.0095152814903234	0.0340565347646841	0.0172413793103448
cdescubierto_preacordado_min3	0.00885150125967943	0.00131815862228117	0.00362976406533575
Visa_msaldopesos	0.0082877306996147	0.0140630009446738	0.015426497277677
mpayroll	0.00688938053834768	0.0377459004972367	0.0172413793103448
cproductos	0.00558526086466773	0.0068725383612345	0.0181488203266788
Visa_delinquency	0.00551642344099178	0.00691484732560799	0.00453720508166969
ctarjeta_visa_transacciones_ratioavg3	0.00538255155401293	0.0235360501854512	0.0127041742286751
ccomisiones_mantenimiento_tend3	0.00531554597148539	0.0143876982070561	0.0190562613430127
mactivos_margen_avg3	0.00457152247826398	0.0051913459874037	0.0226860254083485
ccomisiones_mantenimiento_ratioavg3	0.00439661649536167	0.0045270952467399	0.0136116152450091
ctrx_quarter_normalizado_ratioavg3	0.00398441180619536	0.00444898592714299	0.015426497277677
ctrx_quarter_normalizado_min3	0.00371205274524339	0.00645943699857755	0.00272232304900182
mpasivos_margen_max3	0.0032853937664237	0.00235863461688094	0.00725952813067151
mpayroll_sobre_edad	0.00326830314246346	0.0059914962467291	0.00907441016333938
Visa_mpagospesos	0.00320882717254783	0.00585657632482784	0.00725952813067151
ctarjeta_master_min3	0.00315893260278463	2.71823076507523e-05	0.000907441016333938
mactivos_margen	0.00304030438166953	0.00361111818764599	0.0163339382940109
cproductos_tend3	0.00301053320482865	0.00159834132513011	0.00453720508166969
Master_fechaalta	0.00290726612674513	0.00300678511385772	0.0108892921960073
mcaja_ahorro_min3	0.00236514634611039	0.00556075613258973	0.00181488203266788
ctarjeta_visa_transacciones	0.00215940699160706	0.00959165256633287	0.00453720508166969
cdescubierto_preacordado_ratioavg3	0.00200567593871586	0.00542757304175437	0.00635208711433757
internet_max3	0.00193088671840062	0.000553874825936023	0.00453720508166969
mcaja_ahorro_max3	0.00186379652357468	0.000814760073585626	0.00272232304900182
cdescubierto_preacordado_eficiencia3	0.00182899620913132	0.0013310796838441	0.00272232304900182
mcaja_ahorro_ratioavg3	0.00178116583360744	0.00180137026595818	0.00725952813067151
ccaja_ahorro	0.00177016481775617	0.00241566157184401	0.00816696914700544
Master_Finiciomora	0.00172754674214871	0.0151242347749193	0.00907441016333938
ctrx_quarter_ratioavg3	0.00162185336169188	0.00138005351206563	0.00544464609800363
Visa_status_tend3	0.0016200355722199	0.00463831253291828	0.00272232304900182
mrentabilidad_annual_max3	0.00155979267607481	0.00780259637253397	0.00725952813067151
mcuenta_corriente_tend3	0.00155910498623793	0.000920796915546686	0.00725952813067151
ccaja_ahorro_max3	0.00151059833662558	0.00122766912276816	0.00635208711433757
mpasivos_margen	0.00147307992951407	0.00243491094867474	0.00998185117967332
Visa_mconsumospesos	0.00137227287584536	0.00411144573054681	0.00272232304900182
mcomisiones_mantenimiento_ratioavg3	0.00126497368011286	0.00161872054362308	0.00635208711433757
ctarjeta_visa_max3	0.00120592953664536	7.16968671840536e-05	0.000907441016333938
Visa_mpagominimo	0.00117810384314274	0.00924773597610029	0.00453720508166969
mcuentas_saldo_ratioavg3	0.00112156455964011	0.00116911567960183	0.00453720508166969
cpayroll_trx_ratioavg3	0.00112086294695036	0.0056898165033171	0.00181488203266788
ccaja_ahorro_tend3	0.0010777207626404	0.00285522406662263	0.00362976406533575
mtarjeta_visa_consumo_avg3	0.00107329001538108	0.00042072779387712	0.00272232304900182
internet_avg3	0.00103749600066801	0.00138486735872233	0.00998185117967332
mpayroll_ratioavg3	0.0010327373330629	0.00447557927477832	0.00453720508166969
Visa_Finiciomora_max3	0.000996087211540702	0.000788022490844481	0.00272232304900182
ccaja_seguridad	0.000990709962978385	0.00143079422033344	0.00635208711433757
Master_status_max3	0.000958599429750756	0.00509421566322694	0.00272232304900182
mtarjeta_visa_consumo_max3	0.000937352393235075	0.000795180157970735	0.00181488203266788
mcomisiones_otras_min3	0.000916692915974881	0.00113246193333565	0.00635208711433757
Visa_mpagospesos_tend3	0.000892956131487662	0.000161068544626976	0.00181488203266788
mcomisiones_mantenimiento_max3	0.000869106670987212	0.000110478081261061	0.00181488203266788
ccomisiones_mantenimiento_eficiencia3	0.000867162356970406	0.00066178071447665	0.00635208711433757
ccomisiones_mantenimiento	0.000833454832880252	0.00023820427725961	0.000907441016333938
ctarjeta_master_ratioavg3	0.000819526589237375	0.00485506183818736	0.000907441016333938
ctrx_quarter_tend3	0.000816853401485798	3.30959469893196e-05	0.000907441016333938
Master_status_avg3	0.000805179371772818	0.000142642509858635	0.00181488203266788
ccaja_ahorro_eficiencia3	0.000802048062704703	0.000868133072534627	0.00635208711433757
mactivos_margen_min3	0.000794781487962299	0.000537870738986221	0.00362976406533575
mpayroll_sobre_edad_tend3	0.000791102257653993	0.00563358284143603	0.00544464609800363
internet_eficiencia3	0.000772056171485153	0.000764205668996166	0.00544464609800363
mpayroll_tend3	0.000768261832380427	0.00140968180671923	0.00362976406533575
Visa_fechaalta	0.000751715636560289	0.000913489003518537	0.00453720508166969
mrentabilidad_annual_min3	0.00073899089224734	0.000184476700342138	0.00272232304900182
internet	0.000696442891696167	0.000237669405408866	0.00272232304900182
mactivos_margen_eficiencia3	0.000653178275466454	0.00101443554820341	0.00453720508166969
internet_ratioavg3	0.000632701846560898	0.00258296828479765	0.00544464609800363
mttarjeta_visa_debitos_automaticos_ratioavg3	0.000603710542716223	0.000614201158944701	0.00362976406533575
mcuentas_saldo_tend3	0.000595462401891535	0.000507046494913546	0.00544464609800363
ctarjeta_visa_min3	0.000560540319465186	0.000394819562994433	0.000907441016333938
mpayroll_eficiencia3	0.000553645256975897	0.00086399833283449	0.00272232304900182
Visa_status_eficiencia3	0.000537972574008346	0.000247297098722265	0.000907441016333938
Visa_msaldopesos_ratioavg3	0.000509019451481904	0.000384915419061548	0.00272232304900182
active_quarter_avg3	0.00050651709366675	9.12647632067928e-05	0.00181488203266788
Visa_delinquency_eficiencia3	0.000496746620181348	9.77192841921804e-06	0.000907441016333938
mcuentas_saldo_max3	0.000495005441083431	1.51687252952683e-05	0.000907441016333938
ctarjeta_visa_eficiencia3	0.000493141839975271	0.00484887775802538	0.00181488203266788
mpayroll_sobre_edad_eficiencia3	0.000461102352935309	0.000491955896967263	0.00181488203266788
mcaja_ahorro_dolares_ratioavg3	0.00045141965783478	0.000437621330646137	0.00453720508166969
cpayroll_trx_min3	0.000438929501205858	0.00095115239552545	0.000907441016333938
Visa_cconsumos_ratioavg3	0.00043751200614085	0.00016090628013293	0.00272232304900182
Master_status	0.000421037188476757	0.000911920446742759	0.00272232304900182
mactivos_margen_tend3	0.000415689247271999	0.000147005621809651	0.00181488203266788
mactivos_margen_max3	0.000407608136089017	0.000588082585199362	0.00272232304900182
kmes	0.00040666413693573	7.529072523737e-05	0.00181488203266788
ccallcenter_transacciones_avg3	0.000399149928647515	0.00051485922981206	0.00272232304900182
mcomisiones_mantenimiento_tend3	0.000398563484211207	0.000687412494739851	0.00272232304900182
mcomisiones_mantenimiento_eficiencia3	0.000389518148577634	0.000583418983444556	0.00362976406533575
mpayroll_sobre_edad_max3	0.000375253239451839	0.000836064800674265	0.00272232304900182
mpayroll_sobre_edad_ratioavg3	0.000374893177630392	0.000565810280942521	0.00272232304900182
mtransferencias_emitidas_eficiencia3	0.000369541034796013	0.000505021193636008	0.00272232304900182
Visa_delinquency_avg3	0.000368086359272657	0.000494347795805423	0.00181488203266788
Visa_Finiciomora_tend3	0.000364057333388865	0.000119168246386639	0.000907441016333938
ccaja_seguridad_ratioavg3	0.000361164412299494	0.000309125880749888	0.00272232304900182
cproductos_min3	0.000354248520033167	0.000502623285001772	0.00181488203266788
Visa_msaldototal_min3	0.000343511959110454	0.00208117435165433	0.000907441016333938
ccheques_emitidos_rechazados_avg3	0.000336475180806978	0.000204020557180574	0.00272232304900182
cpayroll_trx_avg3	0.000306376529547979	4.1167103119092e-06	0.000907441016333938
ctransferencias_emitidas_eficiencia3	0.00028099169052503	0.00047625229982125	0.00181488203266788
Visa_fultimo_cierre_min3	0.00027494669500228	0.000327113200404697	0.00181488203266788
ctrx_quarter_normalizado_tend3	0.000272609657439423	0.000405553058785776	0.00181488203266788
thomebanking	0.000269631014187222	0.000255873077722403	0.00272232304900182
mtarjeta_visa_consumo_tend3	0.00026837637686281	0.000337161579443401	0.000907441016333938
Visa_msaldopesos_avg3	0.000267490229392848	0.000416971671329758	0.000907441016333938
ctarjeta_master_eficiencia3	0.000254770350646277	9.26710554885253e-06	0.000907441016333938
ctrx_quarter_eficiencia3	0.000235154190541447	6.16304587571224e-05	0.000907441016333938
Visa_fechaalta_min3	0.000234050965480715	0.000201953187330506	0.000907441016333938
ccaja_ahorro_avg3	0.000232759776951448	0.000129625291558496	0.000907441016333938
mrentabilidad_annual_avg3	0.000231651062025598	0.000218047421221445	0.00181488203266788
cproductos_max3	0.000230003745747902	0.000174849007028739	0.000907441016333938
Master_fultimo_cierre_min3	0.000210377933786348	0.000194807539796404	0.00181488203266788
tcuentas_avg3	0.000205299828370719	8.19736184736372e-05	0.000907441016333938
mcuenta_corriente_min3	0.000204637913153287	0.000103620903938596	0.00181488203266788
active_quarter	0.000202123673843048	0.000142985068234954	0.00181488203266788
mcomisiones_max3	0.000202057359443458	8.99606374583486e-05	0.000907441016333938
mprestamos_hipotecarios_eficiencia3	0.000196324830395288	0.000531626560863486	0.00181488203266788
Visa_status_max3	0.000195647713998991	8.35361654533399e-06	0.000907441016333938
active_quarter_tend3	0.000195224379995627	0.000130490702193408	0.000907441016333938
ccaja_seguridad_min3	0.00019464796397719	0.000326404044467755	0.000907441016333938
Visa_fultimo_cierre_avg3	0.000194038172749873	0.000181694164759052	0.000907441016333938
Master_Finiciomora_avg3	0.000193686781744272	0.000284666010721464	0.000907441016333938
Visa_delinquency_max3	0.000187366658757351	4.12512402641529e-05	0.000907441016333938
Visa_fechaalta_eficiencia3	0.000184907942397038	0.000276588844795616	0.00181488203266788
Master_fultimo_cierre_eficiencia3	0.00018397166274723	0.000395588816892133	0.000907441016333938
kmes_eficiencia3	0.00018122948503003	0.000588893907669592	0.00181488203266788
tcallcenter_ratioavg3	0.000176957914130641	0.000206520632348099	0.00181488203266788
cprestamos_hipotecarios_eficiencia3	0.00017676511482424	0.00027392049533797	0.00181488203266788
mtarjeta_master_consumo	0.000175328211995993	0.000389735275514323	0.00181488203266788
mrentabilidad	0.000172873791405588	0.000369920977852477	0.00181488203266788
mcomisiones_min3	0.000172015826564501	0.000184212269314804	0.00181488203266788
Visa_mconsumototal	0.000153853499675202	0.000515147700023697	0.00181488203266788
ccaja_ahorro_ratioavg3	0.000150411592073978	1.21698370534542e-05	0.000907441016333938
active_quarter_min3	0.000148415322528622	5.65762202573915e-05	0.000907441016333938
chomebanking_transacciones_max3	0.000148181542469157	0.000168472613392337	0.00181488203266788
ctarjeta_visa_debitos_automaticos_ratioavg3	0.000148097678338294	0.000171435442857696	0.00181488203266788
mrentabilidad_min3	0.000148011956175464	0.000107851800375945	0.00181488203266788
Master_delinquency	0.000142187001185128	0.00444240520044001	0.00181488203266788
